Amplitude,Width,ID,Mean Time
128.0,8.0,4.087,0.839
256.0,16.0,4.087,0.717
64.0,8.0,3.170,0.725
512.0,32.0,4.087,0.947
64.0,32.0,1.585,0.502
128.0,32.0,2.322,0.646
256.0,32.0,3.170,0.674
512.0,8.0,6.022,1.126
64.0,16.0,2.322,0.538
512.0,16.0,5.044,1.313
128.0,16.0,3.170,0.66
256.0,8.0,5.044,1.543
